candidate_id,species_scientific_name,accepted_scientific_name,species_chinese_name,taxonomic_notes,author,source_page_url,original_image_url,license_name,license_proof_url,acquired_at,mime_type,width,height,file_size_bytes,sha256,local_filename,local_filepath,required_attribution,purpose_specification,status
SP-IMG-001,Acanthurus lineatus,Acanthurus lineatus,線紋刺尾鯛,,Rickard Zerpe,https://commons.wikimedia.org/wiki/File:Striped_surgeonfish_(Acanthurus_lineatus)_(46864395325).jpg,https://upload.wikimedia.org/wikipedia/commons/4/45/Striped_surgeonfish_%28Acanthurus_lineatus%29_%2846864395325%29.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-25 12:53:16Z,image/jpeg,3992,2994,5903253,34bd3804cac256c951ecc253c7de88ef2347e59aea20c07716bc4d597efb4a0b,SP-IMG-001_acanthurus_lineatus.jpg,data/curated-media/species-reference/SP-IMG-001_acanthurus_lineatus.jpg,Photo by Rickard Zerpe / Wikimedia Commons / Flickr (CC BY 2.0),物種外觀參考（非潛點現場拍攝，亦不代表該物種目前可見）,published
SP-IMG-002,Amphiprion clarkii,Amphiprion clarkii,克氏雙鋸魚,,Diego Delso,"https://commons.wikimedia.org/wiki/File:Pez_payaso_de_cola_amarilla_(Amphiprion_clarkii)_en_una_an%C3%A9mona_burbuja_(Entacmaea_quadricolor),_islas_Ad_Dimaniyat,_Om%C3%A1n,_2024-08-15,_DD_27.jpg",https://upload.wikimedia.org/wikipedia/commons/2/24/Pez_payaso_de_cola_amarilla_%28Amphiprion_clarkii%29_en_una_an%C3%A9mona_burbuja_%28Entacmaea_quadricolor%29%2C_islas_Ad_Dimaniyat%2C_Om%C3%A1n%2C_2024-08-15%2C_DD_27.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,2026-09-25 12:53:16Z,image/jpeg,4487,2991,8206760,2d59b5f79363e16c9adfc0d9849e95e4f4446bdd2265bd0a2b057490ba8c5490,SP-IMG-002_amphiprion_clarkii.jpg,data/curated-media/species-reference/SP-IMG-002_amphiprion_clarkii.jpg,"Photo by Diego Delso, delso.photo (CC BY-SA 4.0)",物種外觀參考（非潛點現場拍攝，亦不代表該物種目前可見）,published
SP-IMG-003,Abudefduf septemfasciatus,Abudefduf septemfasciatus,七帶豆娘魚,,Paul Asman and Jill Lenoble,https://commons.wikimedia.org/wiki/File:Abudefduf_septemfasciatus_Banded_Sergeant.jpg,https://upload.wikimedia.org/wikipedia/commons/8/87/Abudefduf_septemfasciatus_Banded_Sergeant.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-25 12:53:16Z,image/jpeg,1264,843,743374,aac0c45f6b75d781d44aae8f73b9fef8e5ca539aa6f7270c861585b4b7bc16e4,SP-IMG-003_abudefduf_septemfasciatus.jpg,data/curated-media/species-reference/SP-IMG-003_abudefduf_septemfasciatus.jpg,Photo by Paul Asman and Jill Lenoble / Wikimedia Commons / Flickr (CC BY 2.0),物種外觀參考（非潛點現場拍攝，亦不代表該物種目前可見）,published
SP-IMG-004,Acanthaster plancii,Acanthaster planci,棘冠海星,命名由 Linnaeus (1758) 原始記述為 Asterias plancii，現代分類學（WoRMS / ICZN prevailing usage）多採 Acanthaster planci 單 i 拼法；兩者為同一物種之拼寫異體（Orthographic variant）。來源頁採 Acanthaster planci，與本專案 Reef Check 歷史紀錄 Acanthaster plancii 完全對應。,Matt Wright,https://commons.wikimedia.org/wiki/File:CrownofThornsStarfish_Fiji_2005-10-12.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8f/CrownofThornsStarfish_Fiji_2005-10-12.jpg,CC BY 2.5,https://creativecommons.org/licenses/by/2.5/,2026-09-25 12:53:16Z,image/jpeg,1200,1500,942485,0f3b97280980d5065e85e514266fd7d2dd564a67792bbb503c6e802728a55d32,SP-IMG-004_acanthaster_planci.jpg,data/curated-media/species-reference/SP-IMG-004_acanthaster_planci.jpg,Photo by Matt Wright (mattw.org) / Wikimedia Commons (CC BY 2.5),物種外觀參考（非潛點現場拍攝，亦不代表該物種目前可見）,published
